ISO15924_script_code,name,url
Arab,Arabic script,https://en.wikipedia.org/wiki/Arabic_script
Aran,Arabic script (Nastaliq variant),https://en.wikipedia.org/wiki/Nastaliq
Armn,Armenian,https://en.wikipedia.org/wiki/Armenian_alphabet
Avst,Avestan,https://en.wikipedia.org/wiki/Avestan_alphabet
Beng,Bengali (Bangla),https://en.wikipedia.org/wiki/Bengali%E2%80%93Assamese_script
Brah,Brahmi,https://en.wikipedia.org/wiki/Brahmi_script
Chrs,Chorasmian,https://en.wikipedia.org/wiki/Khwarezmian_language#Writing_system
Copt,Coptic,https://en.wikipedia.org/wiki/Coptic_script
Cyrl,Cyrillic,https://en.wikipedia.org/wiki/Cyrillic_script
Ethi,Ethiopic (Ge'ez),https://en.wikipedia.org/wiki/Ge%CA%BDez_script
Grek,Greek,https://en.wikipedia.org/wiki/Greek_alphabet
Gujr,Gujarati,https://en.wikipedia.org/wiki/Gujarati_script
Hebr,Hebrew,https://en.wikipedia.org/wiki/Hebrew_alphabet
Latn,Latin,https://en.wikipedia.org/wiki/Latin_script
Mani,Manichaean,https://en.wikipedia.org/wiki/Manichaean_script
Mlym,Malayalam,https://en.wikipedia.org/wiki/Malayalam_script
Mong,Mongolian,https://en.wikipedia.org/wiki/Mongolian_script
Narb,Old North Arabian,https://en.wikipedia.org/wiki/Ancient_North_Arabian
Nbat,Nabataean,https://en.wikipedia.org/wiki/Nabataean_alphabet
Osma,Osmanya (=Far Somali),https://en.wikipedia.org/wiki/Osmanya_script
Ougr,Old Uyghur script,https://en.wikipedia.org/wiki/Old_Uyghur_alphabet
Phli,Inscriptional Pahlavi,https://en.wikipedia.org/wiki/Inscriptional_Pahlavi
Phlp,Psalter Pahlavi,https://en.wikipedia.org/wiki/Psalter_Pahlavi
Phlv,Book Pahlavi,https://en.wikipedia.org/wiki/Book_Pahlavi
Sarb,Old South Arabian,https://en.wikipedia.org/wiki/Ancient_South_Arabian_script
Sogd,Sogdian,https://en.wikipedia.org/wiki/Sogdian_alphabet
Syrc,Syriac,https://en.wikipedia.org/wiki/Syriac_alphabet
Syre,Syriac (Estrangelo variant),https://en.wikipedia.org/wiki/Syriac_alphabet#Estrangelo_variant
Syrj,Syriac (Serṭā = Western variant),https://en.wikipedia.org/wiki/Syriac_alphabet#Western_variant
Syrn,Syriac (Maḏnḥāyā = Eastern variant),https://en.wikipedia.org/wiki/Syriac_alphabet#Eastern_variant
Tfng,Tifinagh (Berber),https://en.wikipedia.org/wiki/Tifinagh
Yezi,Yezidi,https://en.wikipedia.org/wiki/Kurdish_alphabets#Yezidi
